Gen	MaxFit	AvgFit	Diversity
167	0.2933	0.2862	7.13e-03
168	0.2900	0.2875	2.53e-03
169	0.2900	0.2886	1.42e-03
170	0.2900	0.2884	1.66e-03
171	0.2933	0.2883	5.00e-03
172	0.2933	0.2882	5.16e-03
173	0.2933	0.2877	5.64e-03
174	0.2967	0.2905	6.21e-03
175	0.2967	0.2910	5.70e-03
176	0.2967	0.2934	3.26e-03
177	0.3000	0.2947	5.28e-03
178	0.3000	0.2948	5.23e-03
179	0.3000	0.2963	3.67e-03
180	0.3000	0.2983	1.68e-03
181	0.3000	0.2983	1.69e-03
182	0.3000	0.2982	1.86e-03
183	0.3033	0.2986	4.71e-03
184	0.3033	0.2977	5.61e-03
185	0.3033	0.2988	4.53e-03
186	0.3033	0.2994	3.97e-03
187	0.3067	0.3017	4.97e-03
188	0.3067	0.3016	5.11e-03
189	0.3067	0.3024	4.24e-03
190	0.3067	0.3049	1.77e-03
191	0.3067	0.3048	1.88e-03
192	0.3067	0.3049	1.77e-03
193	0.3100	0.3050	5.04e-03
194	0.3067	0.3048	1.87e-03
195	0.3067	0.3049	1.82e-03
196	0.3067	0.3052	1.52e-03
197	0.3100	0.3051	4.93e-03
198	0.3100	0.3055	4.48e-03
199	0.3100	0.3066	3.40e-03
200	0.3133	0.3080	5.37e-03
201	0.3133	0.3089	4.47e-03
202	0.3167	0.3091	7.56e-03
203	0.3133	0.3109	2.40e-03
204	0.3133	0.3113	2.00e-03
205	0.3133	0.3116	1.79e-03
206	0.3133	0.3113	2.08e-03
207	0.3133	0.3113	2.07e-03
208	0.3133	0.3114	1.91e-03
209	0.3133	0.3115	1.83e-03
210	0.3133	0.3115	1.88e-03
211	0.3133	0.3116	1.79e-03
212	0.3133	0.3116	1.72e-03
213	0.3133	0.3114	1.92e-03
214	0.3133	0.3114	1.90e-03
215	0.3133	0.3113	2.06e-03
216	0.3167	0.3115	5.14e-03
217	0.3133	0.3112	2.17e-03
218	0.3133	0.3115	1.80e-03
219	0.3167	0.3114	5.29e-03
220	0.3167	0.3113	5.36e-03
221	0.3167	0.3115	5.20e-03
222	0.3167	0.3120	4.72e-03
223	0.3167	0.3130	3.71e-03
224	0.3167	0.3148	1.92e-03
225	0.3167	0.3146	2.03e-03
226	0.3167	0.3150	1.71e-03
227	0.3167	0.3149	1.74e-03
228	0.3167	0.3149	1.80e-03
229	0.3167	0.3147	1.98e-03
