Gen	MaxFit	AvgFit	Diversity
444	0.3333	0.3312	2.18e-03
445	0.3333	0.3316	1.76e-03
446	0.3333	0.3315	1.80e-03
447	0.3333	0.3313	2.08e-03
448	0.3333	0.3312	2.10e-03
449	0.3333	0.3315	1.84e-03
450	0.3333	0.3313	2.00e-03
451	0.3333	0.3313	2.03e-03
452	0.3333	0.3313	2.04e-03
453	0.3333	0.3312	2.17e-03
454	0.3333	0.3313	2.07e-03
455	0.3333	0.3315	1.82e-03
456	0.3333	0.3315	1.87e-03
457	0.3333	0.3312	2.12e-03
458	0.3333	0.3312	2.17e-03
459	0.3333	0.3315	1.88e-03
460	0.3333	0.3314	1.94e-03
461	0.3333	0.3313	2.03e-03
462	0.3333	0.3312	2.19e-03
463	0.3333	0.3312	2.16e-03
464	0.3333	0.3313	2.01e-03
465	0.3333	0.3312	2.16e-03
466	0.3333	0.3314	1.99e-03
467	0.3333	0.3313	2.08e-03
468	0.3333	0.3315	1.83e-03
469	0.3333	0.3315	1.84e-03
470	0.3333	0.3313	2.02e-03
471	0.3333	0.3314	1.90e-03
472	0.3333	0.3312	2.16e-03
473	0.3333	0.3314	1.98e-03
474	0.3333	0.3315	1.83e-03
475	0.3333	0.3316	1.73e-03
476	0.3333	0.3314	1.99e-03
477	0.3333	0.3316	1.76e-03
478	0.3333	0.3312	2.11e-03
479	0.3333	0.3313	2.06e-03
480	0.3333	0.3313	2.08e-03
481	0.3333	0.3311	2.24e-03
482	0.3333	0.3313	2.06e-03
483	0.3333	0.3313	2.02e-03
484	0.3333	0.3315	1.81e-03
485	0.3333	0.3316	1.79e-03
486	0.3333	0.3313	2.09e-03
487	0.3333	0.3313	2.07e-03
488	0.3333	0.3312	2.17e-03
489	0.3333	0.3314	1.91e-03
490	0.3333	0.3316	1.71e-03
491	0.3333	0.3315	1.80e-03
492	0.3333	0.3315	1.87e-03
493	0.3333	0.3317	1.69e-03
494	0.3333	0.3313	2.00e-03
495	0.3333	0.3314	1.99e-03
496	0.3333	0.3311	2.23e-03
497	0.3333	0.3313	2.01e-03
498	0.3333	0.3314	1.93e-03
499	0.3333	0.3315	1.80e-03
500	0.3333	0.3315	1.82e-03
