Gen	MaxFit	AvgFit	Diversity
167	0.5300	0.5161	1.39e-02
168	0.5300	0.5261	3.90e-03
169	0.5400	0.5270	1.30e-02
170	0.5400	0.5265	1.35e-02
171	0.5400	0.5360	4.00e-03
172	0.5500	0.5366	1.34e-02
173	0.5500	0.5407	9.30e-03
174	0.5600	0.5464	1.36e-02
175	0.5700	0.5563	1.37e-02
176	0.5700	0.5614	8.60e-03
177	0.5800	0.5657	1.43e-02
178	0.5800	0.5661	1.39e-02
179	0.5700	0.5573	1.27e-02
180	0.5800	0.5664	1.36e-02
181	0.5800	0.5701	9.90e-03
182	0.5900	0.5761	1.39e-02
183	0.5900	0.5706	1.94e-02
184	0.6000	0.5855	1.45e-02
185	0.5900	0.5850	5.00e-03
186	0.6000	0.5867	1.33e-02
187	0.6000	0.5900	1.00e-02
188	0.6100	0.5964	1.36e-02
189	0.6100	0.5951	1.49e-02
190	0.6000	0.5942	5.80e-03
191	0.6100	0.5956	1.44e-02
192	0.6200	0.6005	1.95e-02
193	0.6100	0.6006	9.40e-03
194	0.6200	0.6051	1.49e-02
195	0.6100	0.6014	8.60e-03
196	0.6100	0.6053	4.70e-03
197	0.6200	0.6062	1.38e-02
198	0.6200	0.6084	1.16e-02
199	0.6300	0.6146	1.54e-02
200	0.6200	0.6091	1.09e-02
201	0.6200	0.6158	4.20e-03
202	0.6200	0.6153	4.70e-03
203	0.6200	0.6157	4.30e-03
204	0.6200	0.6165	3.50e-03
205	0.6200	0.6139	6.10e-03
206	0.6200	0.6156	4.40e-03
207	0.6200	0.6160	4.00e-03
208	0.6300	0.6154	1.46e-02
209	0.6300	0.6206	9.40e-03
210	0.6400	0.6257	1.43e-02
211	0.6400	0.6255	1.45e-02
212	0.6500	0.6363	1.37e-02
213	0.6500	0.6350	1.50e-02
214	0.6500	0.6401	9.90e-03
215	0.6500	0.6454	4.60e-03
216	0.6500	0.6452	4.80e-03
217	0.6600	0.6447	1.53e-02
218	0.6600	0.6453	1.47e-02
219	0.6500	0.6271	2.29e-02
220	0.6400	0.6201	1.99e-02
221	0.6300	0.6168	1.32e-02
222	0.6400	0.6254	1.46e-02
223	0.6500	0.6301	1.99e-02
224	0.6400	0.6267	1.33e-02
225	0.6500	0.6354	1.46e-02
226	0.6500	0.6406	9.40e-03
227	0.6600	0.6444	1.56e-02
228	0.6600	0.6497	1.03e-02
229	0.6700	0.6549	1.51e-02
230	0.6700	0.6512	1.88e-02
231	0.6700	0.6648	5.20e-03
232	0.6700	0.6644	5.60e-03
233	0.6800	0.6644	1.56e-02
234	0.6900	0.6617	2.83e-02
235	0.6800	0.6635	1.65e-02
236	0.6800	0.6752	4.80e-03
237	0.6900	0.6766	1.34e-02
238	0.6800	0.6746	5.40e-03
239	0.6900	0.6748	1.52e-02
240	0.6900	0.6751	1.49e-02
241	0.6900	0.6712	1.88e-02
242	0.7000	0.6816	1.84e-02
243	0.7000	0.6790	2.10e-02
244	0.7000	0.6772	2.28e-02
245	0.6900	0.6785	1.15e-02
246	0.6900	0.6854	4.60e-03
247	0.6900	0.6855	4.50e-03
248	0.6900	0.6848	5.20e-03
249	0.6900	0.6844	5.60e-03
250	0.6900	0.6840	6.00e-03
251	0.6900	0.6859	4.10e-03
252	0.6900	0.6859	4.10e-03
253	0.6900	0.6853	4.70e-03
254	0.7000	0.6863	1.37e-02
255	0.7000	0.6854	1.46e-02
256	0.7100	0.6948	1.52e-02
257	0.7100	0.6957	1.43e-02
258	0.7100	0.6895	2.05e-02
259	0.7100	0.7054	4.60e-03
260	0.7200	0.7046	1.54e-02
261	0.7200	0.7104	9.60e-03
262	0.7300	0.7140	1.60e-02
263	0.7300	0.7148	1.52e-02
264	0.7400	0.7251	1.49e-02
265	0.7300	0.7258	4.20e-03
266	0.7300	0.7257	4.30e-03
267	0.7300	0.7239	6.10e-03
