Gen	MaxFit	AvgFit	Diversity
167	0.0807	0.0752	5.46e-03
168	0.0800	0.0751	4.98e-03
169	0.0800	0.0752	4.81e-03
170	0.0819	0.0753	6.60e-03
171	0.0800	0.0748	5.20e-03
172	0.0800	0.0752	4.84e-03
173	0.0807	0.0756	5.02e-03
174	0.0807	0.0760	4.67e-03
175	0.0813	0.0762	5.12e-03
176	0.0838	0.0772	6.62e-03
177	0.0826	0.0771	5.42e-03
178	0.0813	0.0767	4.59e-03
179	0.0813	0.0768	4.52e-03
180	0.0807	0.0765	4.12e-03
181	0.0819	0.0767	5.25e-03
182	0.0819	0.0770	4.89e-03
183	0.0819	0.0776	4.29e-03
184	0.0819	0.0780	3.97e-03
185	0.0838	0.0785	5.28e-03
186	0.0832	0.0785	4.66e-03
187	0.0832	0.0788	4.37e-03
188	0.0832	0.0790	4.23e-03
189	0.0832	0.0798	3.42e-03
190	0.0844	0.0801	4.38e-03
191	0.0851	0.0804	4.69e-03
192	0.0851	0.0807	4.34e-03
193	0.0857	0.0806	5.10e-03
194	0.0851	0.0804	4.65e-03
195	0.0851	0.0805	4.53e-03
196	0.0863	0.0807	5.64e-03
197	0.0857	0.0813	4.45e-03
198	0.0863	0.0815	4.81e-03
199	0.0870	0.0823	4.68e-03
200	0.0870	0.0829	4.08e-03
201	0.0882	0.0832	5.02e-03
202	0.0876	0.0831	4.48e-03
203	0.0870	0.0834	3.59e-03
204	0.0889	0.0838	5.09e-03
205	0.0876	0.0839	3.70e-03
206	0.0876	0.0839	3.74e-03
207	0.0882	0.0840	4.20e-03
208	0.0889	0.0842	4.63e-03
209	0.0895	0.0844	5.13e-03
210	0.0889	0.0843	4.60e-03
211	0.0901	0.0846	5.51e-03
212	0.0889	0.0850	3.83e-03
213	0.0895	0.0858	3.71e-03
214	0.0907	0.0853	5.48e-03
215	0.0901	0.0852	4.87e-03
216	0.0895	0.0853	4.16e-03
217	0.0895	0.0850	4.47e-03
218	0.0889	0.0848	4.09e-03
219	0.0901	0.0852	4.91e-03
220	0.0901	0.0855	4.59e-03
221	0.0901	0.0857	4.43e-03
222	0.0895	0.0857	3.80e-03
223	0.0907	0.0856	5.16e-03
224	0.0914	0.0859	5.43e-03
225	0.0901	0.0853	4.84e-03
226	0.0907	0.0852	5.55e-03
227	0.0907	0.0853	5.41e-03
228	0.0920	0.0856	6.39e-03
229	0.0926	0.0855	7.11e-03
230	0.0914	0.0857	5.71e-03
231	0.0920	0.0858	6.20e-03
232	0.0926	0.0863	6.34e-03
233	0.0926	0.0860	6.63e-03
234	0.0939	0.0853	8.59e-03
235	0.0920	0.0844	7.59e-03
236	0.0914	0.0844	6.93e-03
237	0.0907	0.0842	6.57e-03
238	0.0914	0.0843	7.07e-03
239	0.0914	0.0844	6.99e-03
240	0.0901	0.0844	5.71e-03
241	0.0901	0.0848	5.36e-03
242	0.0914	0.0850	6.41e-03
243	0.0914	0.0850	6.39e-03
244	0.0926	0.0857	6.91e-03
245	0.0920	0.0856	6.43e-03
246	0.0933	0.0856	7.69e-03
247	0.0939	0.0858	8.11e-03
248	0.0926	0.0855	7.16e-03
249	0.0933	0.0848	8.47e-03
250	0.0945	0.0851	9.45e-03
251	0.0920	0.0839	8.12e-03
252	0.0920	0.0839	8.13e-03
253	0.0920	0.0849	7.07e-03
254	0.0920	0.0852	6.85e-03
255	0.0914	0.0862	5.19e-03
256	0.0920	0.0862	5.81e-03
257	0.0920	0.0860	6.04e-03
258	0.0920	0.0865	5.54e-03
259	0.0914	0.0868	4.60e-03
260	0.0920	0.0873	4.75e-03
261	0.0926	0.0880	4.62e-03
262	0.0933	0.0882	5.05e-03
263	0.0933	0.0879	5.41e-03
264	0.0933	0.0877	5.54e-03
265	0.0926	0.0879	4.78e-03
266	0.0926	0.0880	4.66e-03
267	0.0933	0.0884	4.83e-03
268	0.0920	0.0879	4.12e-03
269	0.0926	0.0883	4.35e-03
270	0.0933	0.0883	4.92e-03
271	0.0933	0.0881	5.20e-03
272	0.0945	0.0888	5.75e-03
273	0.0933	0.0890	4.30e-03
274	0.0945	0.0896	4.95e-03
275	0.0939	0.0896	4.27e-03
276	0.0933	0.0889	4.39e-03
277	0.0933	0.0892	4.08e-03
278	0.0939	0.0890	4.95e-03
279	0.0945	0.0892	5.36e-03
280	0.0945	0.0890	5.50e-03
281	0.0945	0.0896	4.89e-03
282	0.0926	0.0883	4.35e-03
283	0.0939	0.0883	5.64e-03
284	0.0933	0.0884	4.89e-03
285	0.0945	0.0877	6.79e-03
286	0.0933	0.0873	5.95e-03
287	0.0939	0.0872	6.68e-03
288	0.0939	0.0865	7.39e-03
289	0.0933	0.0865	6.74e-03
290	0.0933	0.0864	6.84e-03
291	0.0933	0.0865	6.81e-03
292	0.0933	0.0860	7.27e-03
293	0.0939	0.0860	7.92e-03
294	0.0939	0.0868	7.05e-03
295	0.0945	0.0869	7.65e-03
296	0.0939	0.0873	6.62e-03
297	0.0952	0.0876	7.56e-03
298	0.0939	0.0874	6.55e-03
299	0.0945	0.0872	7.32e-03
300	0.0952	0.0870	8.15e-03
301	0.0958	0.0874	8.38e-03
302	0.0952	0.0875	7.63e-03
303	0.0958	0.0877	8.10e-03
304	0.0952	0.0876	7.51e-03
305	0.0952	0.0886	6.54e-03
306	0.0945	0.0883	6.19e-03
307	0.0958	0.0887	7.14e-03
308	0.0958	0.0898	5.95e-03
309	0.0970	0.0900	7.09e-03
310	0.0964	0.0899	6.49e-03
311	0.0964	0.0895	6.93e-03
312	0.0964	0.0897	6.75e-03
313	0.0958	0.0899	5.87e-03
314	0.0964	0.0897	6.74e-03
315	0.0964	0.0899	6.51e-03
316	0.0958	0.0899	5.90e-03
317	0.0958	0.0902	5.57e-03
318	0.0958	0.0904	5.37e-03
319	0.0964	0.0903	6.07e-03
320	0.0970	0.0910	6.09e-03
321	0.0964	0.0912	5.21e-03
322	0.0970	0.0919	5.16e-03
323	0.0977	0.0920	5.66e-03
324	0.0970	0.0923	4.79e-03
325	0.0964	0.0920	4.37e-03
326	0.0970	0.0924	4.64e-03
327	0.0970	0.0923	4.70e-03
328	0.0964	0.0926	3.79e-03
329	0.0964	0.0927	3.70e-03
330	0.0983	0.0932	5.13e-03
331	0.0989	0.0929	6.05e-03
332	0.0983	0.0929	5.39e-03
333	0.0996	0.0926	6.94e-03
334	0.0996	0.0926	6.96e-03
335	0.1008	0.0918	9.02e-03
336	0.1008	0.0914	9.47e-03
337	0.1002	0.0914	8.81e-03
338	0.0996	0.0916	7.96e-03
339	0.0977	0.0908	6.90e-03
340	0.0977	0.0905	7.18e-03
341	0.0977	0.0906	7.08e-03
342	0.0970	0.0905	6.57e-03
343	0.0952	0.0904	4.76e-03
344	0.0958	0.0899	5.91e-03
345	0.0958	0.0897	6.08e-03
346	0.0964	0.0896	6.85e-03
347	0.0983	0.0898	8.52e-03
348	0.0970	0.0893	7.72e-03
349	0.0970	0.0892	7.83e-03
350	0.0958	0.0887	7.05e-03
351	0.0952	0.0889	6.27e-03
352	0.0952	0.0891	6.06e-03
353	0.0958	0.0893	6.49e-03
354	0.0958	0.0896	6.15e-03
355	0.0970	0.0895	7.54e-03
356	0.0983	0.0897	8.56e-03
357	0.0989	0.0905	8.47e-03
358	0.0983	0.0906	7.72e-03
359	0.0958	0.0897	6.11e-03
360	0.0958	0.0901	5.69e-03
361	0.0939	0.0895	4.45e-03
362	0.0945	0.0895	5.07e-03
363	0.0952	0.0904	4.75e-03
364	0.0958	0.0904	5.36e-03
365	0.0970	0.0903	6.76e-03
366	0.0952	0.0902	4.97e-03
367	0.0952	0.0904	4.80e-03
368	0.0952	0.0905	4.67e-03
369	0.0952	0.0900	5.14e-03
370	0.0964	0.0898	6.58e-03
371	0.0964	0.0903	6.09e-03
372	0.0970	0.0909	6.17e-03
373	0.0977	0.0909	6.74e-03
374	0.0977	0.0905	7.18e-03
375	0.0970	0.0905	6.50e-03
376	0.0970	0.0912	5.87e-03
377	0.0983	0.0912	7.08e-03
378	0.0977	0.0919	5.75e-03
379	0.0989	0.0930	5.92e-03
380	0.0983	0.0927	5.61e-03
381	0.0970	0.0922	4.82e-03
382	0.0977	0.0930	4.64e-03
383	0.0989	0.0935	5.42e-03
384	0.0996	0.0932	6.40e-03
385	0.0977	0.0921	5.61e-03
386	0.0989	0.0923	6.63e-03
387	0.0989	0.0927	6.21e-03
388	0.0989	0.0931	5.85e-03
389	0.0983	0.0932	5.08e-03
390	0.0983	0.0929	5.36e-03
391	0.0977	0.0933	4.35e-03
392	0.0989	0.0934	5.57e-03
393	0.0996	0.0937	5.83e-03
394	0.0983	0.0943	4.04e-03
395	0.0989	0.0948	4.15e-03
396	0.1002	0.0949	5.32e-03
397	0.1015	0.0943	7.19e-03
398	0.0989	0.0941	4.80e-03
399	0.1002	0.0947	5.54e-03
400	0.0996	0.0951	4.42e-03
401	0.1008	0.0948	6.06e-03
402	0.1008	0.0947	6.08e-03
403	0.1015	0.0955	6.00e-03
404	0.1008	0.0954	5.44e-03
405	0.1015	0.0957	5.74e-03
406	0.1015	0.0962	5.30e-03
407	0.1021	0.0962	5.93e-03
408	0.1021	0.0954	6.73e-03
409	0.1021	0.0955	6.60e-03
410	0.1021	0.0955	6.55e-03
411	0.1008	0.0952	5.61e-03
412	0.1002	0.0950	5.18e-03
413	0.1015	0.0952	6.30e-03
414	0.1015	0.0952	6.24e-03
415	0.1015	0.0957	5.73e-03
416	0.1015	0.0954	6.04e-03
417	0.1027	0.0955	7.20e-03
418	0.1027	0.0954	7.35e-03
419	0.1015	0.0958	5.67e-03
420	0.1033	0.0955	7.84e-03
421	0.1027	0.0957	7.01e-03
422	0.1021	0.0954	6.65e-03
423	0.1033	0.0952	8.13e-03
424	0.1008	0.0953	5.54e-03
425	0.1021	0.0958	6.27e-03
426	0.1033	0.0964	6.96e-03
427	0.1033	0.0963	7.01e-03
428	0.1033	0.0968	6.51e-03
429	0.1033	0.0969	6.42e-03
430	0.1027	0.0972	5.56e-03
431	0.1033	0.0969	6.46e-03
432	0.1040	0.0970	6.99e-03
433	0.1027	0.0976	5.14e-03
434	0.1033	0.0976	5.76e-03
435	0.1052	0.0981	7.19e-03
436	0.1040	0.0980	6.02e-03
437	0.1046	0.0977	6.96e-03
438	0.1046	0.0977	6.86e-03
439	0.1046	0.0981	6.50e-03
440	0.1046	0.0980	6.64e-03
441	0.1059	0.0983	7.55e-03
442	0.1040	0.0986	5.35e-03
443	0.1046	0.0982	6.45e-03
444	0.1052	0.0990	6.21e-03
445	0.1046	0.0989	5.72e-03
446	0.1040	0.0983	5.70e-03
447	0.1059	0.0987	7.16e-03
448	0.1046	0.0985	6.14e-03
449	0.1040	0.0980	5.95e-03
450	0.1033	0.0974	5.97e-03
451	0.1033	0.0975	5.82e-03
452	0.1033	0.0974	6.00e-03
453	0.1027	0.0980	4.68e-03
454	0.1027	0.0977	5.02e-03
455	0.1027	0.0979	4.84e-03
456	0.1040	0.0985	5.50e-03
457	0.1040	0.0987	5.26e-03
458	0.1040	0.0991	4.89e-03
459	0.1046	0.0983	6.29e-03
460	0.1052	0.0978	7.44e-03
461	0.1033	0.0972	6.17e-03
462	0.1015	0.0969	4.61e-03
463	0.1021	0.0975	4.62e-03
464	0.1033	0.0977	5.69e-03
465	0.1033	0.0975	5.80e-03
466	0.1033	0.0979	5.43e-03
467	0.1040	0.0972	6.83e-03
468	0.1046	0.0969	7.74e-03
469	0.1033	0.0962	7.17e-03
470	0.1046	0.0958	8.81e-03
471	0.1046	0.0953	9.29e-03
472	0.1021	0.0950	7.06e-03
473	0.1021	0.0959	6.24e-03
474	0.1033	0.0951	8.26e-03
475	0.1021	0.0948	7.25e-03
476	0.1002	0.0936	6.55e-03
477	0.1015	0.0946	6.90e-03
478	0.1002	0.0943	5.93e-03
479	0.1002	0.0936	6.56e-03
480	0.1002	0.0937	6.51e-03
481	0.0996	0.0935	6.04e-03
482	0.0996	0.0936	5.95e-03
483	0.0983	0.0925	5.82e-03
484	0.0996	0.0927	6.91e-03
485	0.0983	0.0927	5.63e-03
486	0.0983	0.0930	5.36e-03
487	0.0977	0.0932	4.44e-03
488	0.0989	0.0931	5.83e-03
489	0.0989	0.0941	4.86e-03
490	0.0996	0.0935	6.06e-03
