Gen	MaxFit	AvgFit	Diversity
167	0.2900	0.2832	6.77e-03
168	0.2900	0.2848	5.21e-03
169	0.2900	0.2850	5.00e-03
170	0.2933	0.2866	6.73e-03
171	0.2933	0.2876	5.70e-03
172	0.2933	0.2871	6.23e-03
173	0.2967	0.2899	6.82e-03
174	0.2933	0.2904	2.92e-03
175	0.2933	0.2916	1.74e-03
176	0.2933	0.2917	1.62e-03
177	0.2967	0.2915	5.16e-03
178	0.2967	0.2916	5.10e-03
179	0.2967	0.2920	4.63e-03
180	0.2967	0.2934	3.31e-03
181	0.2967	0.2948	1.83e-03
182	0.3000	0.2949	5.07e-03
183	0.3000	0.2951	4.90e-03
184	0.3000	0.2979	2.13e-03
185	0.3033	0.2984	4.92e-03
186	0.3033	0.2982	5.13e-03
187	0.3000	0.2982	1.82e-03
188	0.3000	0.2983	1.71e-03
189	0.3000	0.2982	1.79e-03
190	0.3000	0.2985	1.56e-03
191	0.3033	0.2982	5.19e-03
192	0.3033	0.2986	4.76e-03
193	0.3033	0.2999	3.48e-03
194	0.3067	0.3014	5.27e-03
195	0.3100	0.3024	7.60e-03
196	0.3100	0.3037	6.36e-03
197	0.3133	0.3053	8.06e-03
198	0.3133	0.3069	6.48e-03
199	0.3100	0.3030	7.01e-03
200	0.3133	0.3049	8.44e-03
201	0.3133	0.3075	5.82e-03
202	0.3133	0.3047	8.64e-03
203	0.3133	0.3080	5.34e-03
204	0.3133	0.3092	4.10e-03
205	0.3167	0.3112	5.46e-03
206	0.3133	0.3115	1.84e-03
207	0.3133	0.3112	2.12e-03
208	0.3133	0.3114	1.97e-03
209	0.3133	0.3116	1.77e-03
210	0.3133	0.3115	1.81e-03
211	0.3133	0.3115	1.89e-03
212	0.3133	0.3116	1.79e-03
213	0.3167	0.3116	5.11e-03
214	0.3167	0.3115	5.22e-03
215	0.3167	0.3115	5.18e-03
216	0.3167	0.3127	3.98e-03
217	0.3200	0.3147	5.31e-03
218	0.3167	0.3141	2.57e-03
219	0.3200	0.3146	5.37e-03
220	0.3200	0.3151	4.96e-03
221	0.3200	0.3152	4.79e-03
222	0.3200	0.3162	3.84e-03
223	0.3200	0.3181	1.96e-03
224	0.3200	0.3184	1.63e-03
225	0.3200	0.3181	1.96e-03
