Gen	FittestString____	MaxFit	AvgFit	Diversity
148	HNuolHReglqj PbwqZ	0.0556	0.0225	3.31e-02
149	HNuplHRegcqj PbwbZ	0.1111	0.0278	8.33e-02
150	HNuplHRegcIj PbwqZ	0.0556	0.0278	2.78e-02
151	HNuolHRegcqb PbwqZ	0.0556	0.0286	2.69e-02
152	HNuolHRegcqb PbwqZ	0.0556	0.0242	3.14e-02
153	HNuplHReglqj PbwPZ	0.0556	0.0267	2.89e-02
154	HNuplHRegcIj PbwqZ	0.0556	0.0322	2.33e-02
155	HNuplHRegcqb PbwqZ	0.0556	0.0322	2.33e-02
156	HNuplHReglqj tbwqZ	0.1111	0.0314	7.97e-02
157	HNuplHReglFj PbwqZ	0.0556	0.0333	2.22e-02
158	HNuplHRegcqb PbwqZ	0.0556	0.0381	1.75e-02
159	HNuplHRegcFj PbwqZ	0.0556	0.0394	1.61e-02
160	HNuolHRegcqb PjwqZ	0.0556	0.0411	1.44e-02
161	HNuolHRegcIj PbwqZ	0.0556	0.0406	1.50e-02
162	HNuplHReglIb PbwqZ	0.0556	0.0397	1.58e-02
163	HNuolHRegcqb PbwPZ	0.0556	0.0389	1.67e-02
164	HNuplHReglqj PbwPY	0.0556	0.0367	1.89e-02
165	HNuplHRegcIb PbwqZ	0.0556	0.0367	1.89e-02
166	HNuplHRegcqj PbwqZ	0.0556	0.0367	1.89e-02
167	HNuplHRegcqj PbwqZ	0.0556	0.0350	2.06e-02
168	HNuplHReglFb PbwqZ	0.0556	0.0322	2.33e-02
169	HNuplHReglqb PbwqZ	0.0556	0.0289	2.67e-02
170	HNuplHRegcqj PbwPY	0.0556	0.0294	2.61e-02
171	HNuplHReglIj PbwPZ	0.0556	0.0322	2.33e-02
172	HNuplHRegcqb PbwPZ	0.0556	0.0325	2.31e-02
173	HNuolHRegcqj PbwqZ	0.0556	0.0356	2.00e-02
174	HNuolHReglqj PbwqZ	0.0556	0.0361	1.94e-02
175	HNuplHRegcFj PbwqZ	0.0556	0.0336	2.19e-02
176	HNuolHRegcqj PbwPY	0.0556	0.0300	2.56e-02
177	HNuplHRegcqj PbwqZ	0.0556	0.0289	2.67e-02
178	HNuolHRegcqb PbwPZ	0.0556	0.0275	2.81e-02
179	HNupl RegcIj PbwPY	0.1111	0.0281	8.31e-02
180	HNuplHReglqj PbwPY	0.0556	0.0267	2.89e-02
181	HNuplHReglqj PbwqZ	0.0556	0.0256	3.00e-02
182	HNuplHReglqb PbwqZ	0.0556	0.0242	3.14e-02
183	HNuplHReglqj PbwqZ	0.0556	0.0250	3.06e-02
184	HNuolHReglqj PbwqZ	0.0556	0.0283	2.72e-02
185	HNuplHReglFj PbwqZ	0.0556	0.0294	2.61e-02
186	HNuplHReglFj PbwPY	0.0556	0.0269	2.86e-02
187	HNuplHReglFj PbwqZ	0.0556	0.0286	2.69e-02
188	HNuolHRegcqj PbwqZ	0.0556	0.0269	2.86e-02
189	HNuplHReglqj PbwPY	0.0556	0.0294	2.61e-02
190	HNuolHReglFj PbwqZ	0.0556	0.0303	2.53e-02
191	HNuolHRegcFj PbwqZ	0.0556	0.0350	2.06e-02
192	HNuolHReglFj PbwPY	0.0556	0.0394	1.61e-02
193	HNuolHReglyj PbwqZ	0.0556	0.0408	1.47e-02
194	HNuolHReglFb PbwqZ	0.0556	0.0383	1.72e-02
195	HNuolHReglFb PbwqZ	0.0556	0.0381	1.75e-02
196	HNuolHReglFj PbwPY	0.0556	0.0378	1.78e-02
197	HNuolHReglyj PbwqZ	0.0556	0.0361	1.94e-02
198	HNuolHRegcFj PbwqZ	0.0556	0.0364	1.92e-02
199	HNuolHReglFj PbwqZ	0.0556	0.0375	1.81e-02
200	HNuplHReglFj PbwqZ	0.0556	0.0361	1.94e-02
201	HNuplHReglFj PbwqZ	0.0556	0.0311	2.44e-02
202	HNuplHReglqj PbwqZ	0.0556	0.0292	2.64e-02
203	HNuplHReglFj PbwPY	0.0556	0.0300	2.56e-02
204	HNuplHRegcFj PbwqZ	0.0556	0.0364	1.92e-02
205	HNuplHReglqj PbwqZ	0.0556	0.0353	2.03e-02
206	HNuolHReglyj PbwPY	0.0556	0.0392	1.64e-02
207	HNuolHReglqj PbwPY	0.0556	0.0428	1.28e-02
208	HNuplHReglFj PbwqZ	0.0556	0.0436	1.19e-02
209	HNuolHReglFj PbwqZ	0.0556	0.0428	1.28e-02
210	HNuplHReglFj PbwqZ	0.0556	0.0422	1.33e-02
211	HNuolHRegcFj PbwqZ	0.0556	0.0442	1.14e-02
212	HNuplHRegeqj PbwqZ	0.0556	0.0442	1.14e-02
213	HNuplHReglqj PbwPY	0.0556	0.0433	1.22e-02
214	HNuplHRegcFj PbwqZ	0.0556	0.0431	1.25e-02
215	HNuolHRegcFj PbwqZ	0.0556	0.0447	1.08e-02
216	HNuplHReglFj PbwqZ	0.0556	0.0475	8.06e-03
217	HNuplHRegcFj PbwPY	0.0556	0.0494	6.11e-03
218	HNuplHReglFj PbwqZ	0.0556	0.0497	5.83e-03
219	HNuolHRegcqj PbwqZ	0.0556	0.0508	4.72e-03
220	HNuplHRegcFj PbwqZ	0.0556	0.0533	2.22e-03
221	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
222	HNuolHReglqj PbwqZ	0.0556	0.0556	-2.01e-16
223	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
224	HNuplHReglqj PbwPY	0.0556	0.0556	-2.01e-16
225	HNuplHRegcqj PbwqZ	0.0556	0.0556	-2.01e-16
226	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
227	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
228	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
229	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
230	HNuolHRegcFj PbwqZ	0.0556	0.0556	-2.01e-16
231	HNuplHRegcFj PbwqZ	0.0556	0.0556	-2.01e-16
232	HDuolHReglFj PkwqZ	0.0556	0.0556	-2.01e-16
233	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
234	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
235	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
236	HNuoeHReglFj PbwqZ	0.1111	0.0558	5.53e-02
237	HNuolHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
238	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
239	HNuplHReglFj RbwqZ	0.0556	0.0556	-2.01e-16
240	HNuplHRegcFj RbwqZ	0.0556	0.0556	-2.01e-16
241	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
242	HNuplHReglFj PbwqZ	0.0556	0.0556	-2.01e-16
243	HNuplHRegcFj PbwqZ	0.0556	0.0556	-2.01e-16
244	HNuolHReglFj PbwvZ	0.0556	0.0556	-2.01e-16
245	HNuolHReglFj PbwvZ	0.0556	0.0556	-2.01e-16
246	HouplHReglFj PbwqZ	0.1111	0.0558	5.53e-02
247	HouplHReglFj PbwqZ	0.1111	0.0558	5.53e-02
248	HouplHReglUj PbwqZ	0.1111	0.0561	5.50e-02
249	HouolHReglFj PbwqZ	0.1111	0.0569	5.42e-02
250	HouolHReglFj PbwqZ	0.1111	0.0569	5.42e-02
251	HouplHReglFj PbwqZ	0.1111	0.0578	5.33e-02
252	HouplHRegcFj PbwqZ	0.1111	0.0592	5.19e-02
253	HouplHRegcFj PbwqZ	0.1111	0.0592	5.19e-02
254	HouplHRegcFj PbwqZ	0.1111	0.0589	5.22e-02
255	HouolHReglFj PbwqZ	0.1111	0.0600	5.11e-02
256	HouplHReglFj PbwqZ	0.1111	0.0597	5.14e-02
257	HouplHRegcFj PbwvZ	0.1111	0.0614	4.97e-02
258	HouplHReglFj PbwvZ	0.1111	0.0622	4.89e-02
259	HouplHRegcFj PbwvZ	0.1111	0.0653	4.58e-02
260	HouplHRegcFj PbwqZ	0.1111	0.0644	4.67e-02
261	HouolHRegcFj PbwvZ	0.1111	0.0647	4.64e-02
262	HouplHReglFj PbwvZ	0.1111	0.0656	4.56e-02
263	HouplHReglFj PbwvZ	0.1111	0.0656	4.56e-02
264	HouplHRggcFj PbwqZ	0.1111	0.0656	4.56e-02
265	HouolHReglFj PbwJZ	0.1111	0.0664	4.47e-02
266	HouolHReglFj PbwvZ	0.1111	0.0708	4.03e-02
267	Houol RegcFj Pbwqm	0.1667	0.0753	9.14e-02
268	HouolHRegcFj PbwvZ	0.1111	0.0769	3.42e-02
269	HouplHReglFj PbwqZ	0.1111	0.0811	3.00e-02
270	HouolHRegcFj PbwqZ	0.1111	0.0822	2.89e-02
271	HouplHReglFj PbwqZ	0.1111	0.0800	3.11e-02
272	HouolHReglFj PbwqZ	0.1111	0.0839	2.72e-02
273	HouplHReglFX PbwqZ	0.1111	0.0869	2.42e-02
274	HouolHRegcFt PbwqZ	0.1667	0.0903	7.64e-02
275	HouolHReglFj PbwvZ	0.1111	0.0939	1.72e-02
276	HouplHReglij PbwqZ	0.1111	0.0964	1.47e-02
277	HouplHRegcFj PbwvZ	0.1111	0.0992	1.19e-02
278	HouplHRegcFj PbwqZ	0.1111	0.1011	1.00e-02
279	HouolHReglFj PbwvZ	0.1111	0.1014	9.72e-03
280	HouplHRIglFj PbwqZ	0.1111	0.1033	7.78e-03
281	HouolHReglFj PbwqZ	0.1111	0.1050	6.11e-03
282	HouplHReglFj PbwqZ	0.1111	0.1069	4.17e-03
283	HouolHRegcFj PbwqZ	0.1111	0.1072	3.89e-03
284	HouolHRegcFj PbwvZ	0.1111	0.1092	1.94e-03
285	HouolHReglFj hbwqZ	0.1111	0.1111	-3.75e-16
286	HouolHRegcFj PbwqZ	0.1111	0.1111	-3.75e-16
287	HouplHRegcFX PbwqZ	0.1111	0.1111	-3.75e-16
288	HouplHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
289	HouolHReglFj PbwqZ	0.1111	0.1108	2.78e-04
290	HouolHReglFj PbwJZ	0.1111	0.1108	2.78e-04
291	HouolHReglFX PbwvZ	0.1111	0.1106	5.56e-04
292	HouolHRegcFj PbwvZ	0.1111	0.1111	-3.75e-16
293	HouplHReglFj hbwqZ	0.1111	0.1111	-3.75e-16
294	HouolHReglFj PbwvZ	0.1111	0.1108	2.78e-04
295	HouolHReglFX PbwqZ	0.1111	0.1111	-3.75e-16
296	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
297	HouolKReglFj PbUqZ	0.1111	0.1111	-3.75e-16
298	HouolHReglFX PbwvZ	0.1111	0.1111	-3.75e-16
299	HouolHRegcFX PbwqZ	0.1111	0.1111	-3.75e-16
300	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
301	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
302	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
303	HouplHReglFj PbwqZ	0.1111	0.1108	2.78e-04
304	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
305	HouolzReglFj PbwvZ	0.1111	0.1111	-3.75e-16
306	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
307	HouolHReglFj PbwvZ	0.1111	0.1111	-3.75e-16
308	HouolHReglFj PbwvZ	0.1111	0.1111	-3.75e-16
309	HouolHRegcFj PbwvZ	0.1111	0.1111	-3.75e-16
310	HouolHReglFj hbwqZ	0.1111	0.1111	-3.75e-16
311	HouolHRegcFj PbwqZ	0.1111	0.1111	-3.75e-16
312	HouolzReglFj PbwvZ	0.1111	0.1111	-3.75e-16
313	HouolHReglFj PbwvZ	0.1111	0.1111	-3.75e-16
314	HouolHRegcFj PbwqZ	0.1111	0.1111	-3.75e-16
315	HouolHReglFj PbwqZ	0.1111	0.1111	-3.75e-16
316	HouolHReglFj PEwBZ	0.1111	0.1111	-3.75e-16
317	HouolHEegcFj PbwqZ	0.1111	0.1111	-3.75e-16
318	HouolHReglFj PbwvZ	0.1111	0.1111	-3.75e-16
319	HouolHRegYFj PbwvZ	0.1111	0.1111	-3.75e-16
320	HouolHEeglFj PbwvZ	0.1111	0.1111	-3.75e-16
321	HouSlzgeglFj hbwBZ	0.1111	0.1111	-3.75e-16
322	HouolHgeglFj hbwvZ	0.1111	0.1108	2.78e-04
323	HoublHRegcFj PbwBZ	0.1667	0.1111	5.56e-02
324	HoublHRegcFj PbwqZ	0.1667	0.1117	5.50e-02
325	HoublHRegcFX hbwqZ	0.1667	0.1117	5.50e-02
326	HoublHReglaX PbwvZ	0.1667	0.1114	5.53e-02
327	HoublHReglFj PkwvZ	0.1667	0.1117	5.50e-02
328	HoublHReglFj hbwvZ	0.1667	0.1117	5.50e-02
329	HoublHReglFj PbwqZ	0.1667	0.1122	5.44e-02
330	HoublHReglFX hbwvZ	0.1667	0.1133	5.33e-02
331	HoublHReglFX PbwBZ	0.1667	0.1125	5.42e-02
332	HoublHReglFX hbwvZ	0.1667	0.1131	5.36e-02
333	HoublHReglFj PbwBZ	0.1667	0.1139	5.28e-02
334	HoublHReglFj PbwBZ	0.1667	0.1142	5.25e-02
335	HoublHReglFj PbwBZ	0.1667	0.1131	5.36e-02
336	HoublHReglFj PbwvZ	0.1667	0.1136	5.31e-02
337	HoublHReglFj PbwvZ	0.1667	0.1133	5.33e-02
338	HoublHReglFj PbwvZ	0.1667	0.1131	5.36e-02
339	HoublHReglFX PbwBZ	0.1667	0.1131	5.36e-02
340	HoublHReglFj PbwBZ	0.1667	0.1125	5.42e-02
341	HoublHReglFj PbwBZ	0.1667	0.1119	5.47e-02
342	HoublHReglaX PbwBZ	0.1667	0.1119	5.47e-02
343	HoublHRegcFj PbwvZ	0.1667	0.1125	5.42e-02
344	HoublzReglFj PbwBZ	0.1667	0.1133	5.33e-02
345	HoublzReglFj PbwqZ	0.1667	0.1153	5.14e-02
346	HoublzReglFj PbwvZ	0.1667	0.1181	4.86e-02
347	HoublzReglFj hbwvZ	0.1667	0.1203	4.64e-02
348	HoublzReglFj hbwBZ	0.1667	0.1183	4.83e-02
349	HoublzReglFj PbwvZ	0.1667	0.1175	4.92e-02
350	HoublHgenlFj PbwBZ	0.1667	0.1194	4.72e-02
351	HoublzRegcFj PbwvZ	0.1667	0.1192	4.75e-02
352	HoublzRegcFj PbwvZ	0.1667	0.1172	4.94e-02
353	HoublHRegcFj PbwvZ	0.1667	0.1186	4.81e-02
354	HoublHRegcFj PbwBZ	0.1667	0.1197	4.69e-02
355	HoublzgeglFj hbwvZ	0.1667	0.1214	4.53e-02
356	HoublHReglFj PbwvZ	0.1667	0.1242	4.25e-02
357	HoublzRegcFj PbwvZ	0.1667	0.1264	4.03e-02
358	HoublzReglFj Obwvk	0.1667	0.1247	4.19e-02
359	HoublzgeglFj PbwBZ	0.1667	0.1272	3.94e-02
360	HoublzReglFj PbwBZ	0.1667	0.1294	3.72e-02
361	HoublzReglFj PbwqZ	0.1667	0.1294	3.72e-02
362	HoublHRegcFj PbwvZ	0.1667	0.1292	3.75e-02
363	HoublHRegcFj PbwvZ	0.1667	0.1319	3.47e-02
364	HoublHRegcFj PbwBZ	0.1667	0.1331	3.36e-02
365	HoublzgeglFj hbwzZ	0.1667	0.1344	3.22e-02
366	HoublzgeglFj PbwvZ	0.1667	0.1364	3.03e-02
367	HoublzReglFj PbwvZ	0.1667	0.1372	2.94e-02
368	HoublHReglFj PbwvZ	0.1667	0.1431	2.36e-02
369	HoublzRegcFj PbwvZ	0.1667	0.1447	2.19e-02
370	HoublzReglFj PbwvZ	0.1667	0.1436	2.31e-02
371	HoublzgeglFj PbwvZ	0.1667	0.1481	1.86e-02
372	HoublzRegVFj PbwzZ	0.1667	0.1533	1.33e-02
373	HoublzRegcFj PbwBZ	0.1667	0.1547	1.19e-02
374	HoublzRegcFj PbwvZ	0.1667	0.1583	8.33e-03
375	HoublzgegcFj PbwzZ	0.1667	0.1614	5.28e-03
376	HoublzReglFj PbwqZ	0.1667	0.1631	3.61e-03
377	HoublzgeglFj PbwzZ	0.1667	0.1658	8.33e-04
378	HoublzReglFj PbwzZ	0.1667	0.1667	3.61e-16
379	HoublzReglFj PbwbZ	0.2222	0.1669	5.53e-02
380	HoublzReglFj PbwBZ	0.1667	0.1667	3.61e-16
381	HoublzgegcFj PbwBZ	0.1667	0.1667	3.61e-16
382	HoublzgegcFj PbwvZ	0.1667	0.1664	2.78e-04
383	HoublzgeglFj PbwBZ	0.1667	0.1664	2.78e-04
384	HoublzReglFj PbwBZ	0.1667	0.1667	3.61e-16
385	HoublzReglFj PbwBZ	0.1667	0.1667	3.61e-16
386	HoublzgeglFj PbwvZ	0.1667	0.1664	2.78e-04
387	HoublzReglFj PbwBZ	0.1667	0.1667	3.61e-16
388	HoublHRegcFj PbwvZ	0.1667	0.1664	2.78e-04
389	HoublzgegVFj PbwvZ	0.1667	0.1667	3.61e-16
390	HoublzRencFj PbwvZ	0.1667	0.1664	2.78e-04
391	HoublzRegVFj PbwvZ	0.1667	0.1667	3.61e-16
392	HoublzgegcFj PbwBZ	0.1667	0.1661	5.56e-04
393	HoublzReglFj PbwvZ	0.1667	0.1664	2.78e-04
394	HoublzReglFj PbwBZ	0.1667	0.1664	2.78e-04
395	HoublzReglFj PbwvZ	0.1667	0.1664	2.78e-04
