Gen	FittestString____	MaxFit	AvgFit	Diversity
000	ThXbwTxuJCE EjCPrA	0.1111	0.0183	9.28e-02
001	TuJZV pCYSdg iIxGU	0.1667	0.0189	1.48e-01
002	PoWpRfBtyymg iIxGU	0.1111	0.0186	9.25e-02
003	PoWpqsvZIEhYACvGbU	0.1111	0.0206	9.06e-02
004	srrpetJEznACXvbZEh	0.1111	0.0206	9.06e-02
005	CNMooHgeIkdg iAGbU	0.1111	0.0150	9.61e-02
006	nUhttZOGgBdg iAGbU	0.1111	0.0231	8.81e-02
007	DviJtHBtyymg iIxGU	0.0556	0.0217	3.39e-02
008	zGHAhgRCicNtRlpoGU	0.0556	0.0286	2.69e-02
009	CxsiXUhFWlNt iItEq	0.1111	0.0292	8.19e-02
010	CNWpqsELicNt ljViN	0.1111	0.0308	8.03e-02
011	evupetJjxcNtSKzXtp	0.1111	0.0306	8.06e-02
012	rAuooHBtI  t ljViN	0.1111	0.0353	7.58e-02
013	kvijlsRCI  t ljViN	0.1111	0.0322	7.89e-02
014	rAuooLECFElt iIQYn	0.1111	0.0283	8.28e-02
015	CxsiXUhQFElt KzoPZ	0.1111	0.0286	8.25e-02
016	CNWpldxQFElt ljViN	0.1111	0.0294	8.17e-02
017	DvMpldxQFElt ljViN	0.1111	0.0281	8.31e-02
018	DvMpldxQFElt ijwEh	0.1111	0.0261	8.50e-02
019	DAMpldxQFElt ijwEh	0.1111	0.0253	8.58e-02
020	HNuoveRCktqt ljwtp	0.1111	0.0261	8.50e-02
021	CNCoveRCktqt ljwtp	0.1111	0.0289	8.22e-02
022	nxWolsRCktqt KzwYR	0.1111	0.0303	8.08e-02
023	HxWolsRCktqt ljwtp	0.1111	0.0275	8.36e-02
024	CAsiXukeRZqt PbXGU	0.1111	0.0247	8.64e-02
025	DGSqldxnZtqt ljwGU	0.1111	0.0253	8.58e-02
026	DvCooURCZZqt PbXGU	0.1111	0.0244	8.67e-02
027	CGSqlskGglIb ljZiN	0.0556	0.0253	3.03e-02
028	DvMMveMtxWXU lIxGU	0.0556	0.0239	3.17e-02
029	HvMplskGglIb ljZiN	0.0556	0.0239	3.17e-02
030	CGMpleMtxWXU lzXPZ	0.0556	0.0269	2.86e-02
031	CAuqveOGItqU KzXtp	0.0556	0.0342	2.14e-02
032	DGSqlsOGgWXU KzXtp	0.0556	0.0322	2.33e-02
033	CvMpoHReRcIttljVGU	0.0556	0.0300	2.56e-02
034	CvMpoHReRcIt ljVGU	0.1111	0.0317	7.94e-02
035	DNWoleReIlqt ljVGU	0.1111	0.0319	7.92e-02
036	CNCpqeRCFtNt Ob tp	0.1667	0.0331	1.34e-01
037	DNWoleReRtqb Ob GU	0.1111	0.0253	8.58e-02
038	DGWoleReRtqb Ob GU	0.1111	0.0267	8.44e-02
039	DNWplsRnRZqb Ob GU	0.1111	0.0258	8.53e-02
040	CASqlHRnZtNM Ob GU	0.1111	0.0217	8.94e-02
041	CAMplsknZtIj lj iN	0.1111	0.0200	9.11e-02
042	DGCovHRnkEqttlj GU	0.1111	0.0258	8.53e-02
043	CACoveRnkEqttlj GU	0.1111	0.0300	8.11e-02
044	CASqleRnZtqttlj GU	0.1111	0.0242	8.69e-02
045	CNMplHRekEqtRzj GU	0.1111	0.0242	8.69e-02
046	DNCpoHReRtqtRPj GU	0.1111	0.0281	8.31e-02
047	CGSolHknZtItRPj GU	0.1111	0.0272	8.39e-02
048	CNSpvHReRtIb lj GU	0.1111	0.0322	7.89e-02
049	HvuovHReRtIb lj GU	0.1111	0.0314	7.97e-02
050	HNuplHReRtIttlb GU	0.1111	0.0306	8.06e-02
051	CNWplekeRtIt ljkGU	0.1111	0.0308	8.03e-02
052	CNWplekeRtIt lzVGU	0.1111	0.0308	8.03e-02
053	DNuplsReRtqt ljkGU	0.1111	0.0336	7.75e-02
054	CNuplekeRtIt lj GU	0.1667	0.0350	1.32e-01
055	HNColsReRtqt ljVGU	0.1111	0.0294	8.17e-02
056	HNuolHkGItItRPj GU	0.1111	0.0281	8.31e-02
057	DNSolHRe tXjtPj GU	0.1111	0.0256	8.56e-02
058	CNSoleke tXjtPj GU	0.1111	0.0214	8.97e-02
059	HNSElekjgtItRlj GU	0.1111	0.0147	9.64e-02
060	HGCpleNnFcItRPjXGU	0.0556	0.0161	3.94e-02
061	HNuplekegtqtRPj GU	0.1111	0.0147	9.64e-02
062	DNWpleReRtItRljwGU	0.0556	0.0142	4.14e-02
063	DNWoleNnFcItRPjwGU	0.0556	0.0122	4.33e-02
064	HNSoqHkeglIb PbwPZ	0.0556	0.0150	4.06e-02
065	HNSoqHRnFtqj ljwPZ	0.0556	0.0139	4.17e-02
066	HNuplekjZtqj Pjwtp	0.0556	0.0092	4.64e-02
067	CGSoqeReglIb ljVtp	0.0556	0.0111	4.44e-02
068	HNuolHkjZtqj PjwPZ	0.0556	0.0117	4.39e-02
069	HNuolekjRtqj Pjwtp	0.0556	0.0150	4.06e-02
070	HNuolekjRcIj PbwPZ	0.0556	0.0131	4.25e-02
071	DNWoqHReZtqj ljVtp	0.0556	0.0106	4.50e-02
072	CNuolHReglIb Pjwtp	0.0556	0.0092	4.64e-02
073	CNuplHReRlIj PjVPZ	0.0556	0.0142	4.14e-02
074	HNuoqHReglIb Pjwtp	0.0556	0.0131	4.25e-02
075	HNWolHkeRlIj Pbwtp	0.0556	0.0119	4.36e-02
076	HNuoqHReRlIb PjwPZ	0.0556	0.0089	4.67e-02
077	HNuolHReglIb PbwPZ	0.0556	0.0158	3.97e-02
078	HNuozHReRlIb Pjwtp	0.0556	0.0139	4.17e-02
079	HNuolHkeRlIb PjVtp	0.0556	0.0114	4.42e-02
080	HNuozekjRcIb Pbwtp	0.0556	0.0147	4.08e-02
081	HNuolHkeRlIb PjVtp	0.0556	0.0181	3.75e-02
082	HNuolHkeRlIb PbwPZ	0.0556	0.0139	4.17e-02
083	HNuplHRegcIb Pjwtp	0.0556	0.0133	4.22e-02
084	HNuozHkegcIb Pjwtp	0.0556	0.0197	3.58e-02
085	HNuplHRegcqb Pjwtp	0.0556	0.0139	4.17e-02
086	HNuozHkegcIb PjVtp	0.0556	0.0133	4.22e-02
087	HNuoqHRegcIb PjVtp	0.0556	0.0114	4.42e-02
088	HNuozHRegcqb Pjwtp	0.0556	0.0175	3.81e-02
089	HNuoqHkeglFb PjVtp	0.0556	0.0153	4.03e-02
090	HNuolHkegcqb PjwqZ	0.0556	0.0142	4.14e-02
091	HNuoqHReglIb Pjwtp	0.0556	0.0092	4.64e-02
092	HNuoqHkeglIb Pjwtp	0.0556	0.0047	5.08e-02
093	HNuoqHkeglIb Pjwtp	0.0556	0.0075	4.81e-02
094	HNuolHRegcqb Pjwtp	0.0556	0.0081	4.75e-02
095	HNuplHRegcFb Pjwtp	0.0556	0.0089	4.67e-02
096	HNuplHReglIb PjwqZ	0.0556	0.0125	4.31e-02
097	HNuplHRegcFb PjwqZ	0.0556	0.0128	4.28e-02
098	HNuplHkeglFb Pjwtp	0.0556	0.0131	4.25e-02
099	HNuplHRegcFb PjwqZ	0.0556	0.0111	4.44e-02
100	HNuoqHkeglFb PbwPZ	0.0556	0.0103	4.53e-02
101	HNuolHkeglFb PbwqZ	0.0556	0.0164	3.92e-02
102	HNuplHkegcqb PbwqZ	0.0556	0.0128	4.28e-02
103	HNuplHkeglFb PbwqZ	0.0556	0.0094	4.61e-02
104	HNuplHRegcqb PbwqZ	0.0556	0.0192	3.64e-02
105	TNuolHkegcIj PbwqZ	0.1111	0.0225	8.86e-02
106	HNuolHkeglFb PbwqZ	0.0556	0.0303	2.53e-02
107	HNuplHkeglqb Pbwtp	0.0556	0.0344	2.11e-02
108	HNuplHkegcIb Pbwtp	0.0556	0.0372	1.83e-02
109	HNuplHReglFj PjwqZ	0.0556	0.0356	2.00e-02
110	HNuplHkeglFb PbwqZ	0.0556	0.0317	2.39e-02
111	HNuplHRegcIj PbwqZ	0.0556	0.0300	2.56e-02
112	HNuolHkegcIb PbwqZ	0.0556	0.0314	2.42e-02
113	HNuplHkegcFb PbwqZ	0.0556	0.0319	2.36e-02
114	HNuplHRegcIj PbwqZ	0.0556	0.0303	2.53e-02
115	HNuolHkegcFb PjwPY	0.0556	0.0331	2.25e-02
116	HNuplHkegcFb PbwqZ	0.0556	0.0350	2.06e-02
117	HNuplHRegHqb PjwPY	0.0556	0.0342	2.14e-02
118	HNuplHkeglqj PjwPZ	0.0556	0.0344	2.11e-02
119	HNuplHkegcqb PjwqC	0.0556	0.0406	1.50e-02
120	HNuplHkegcqj PbwqB	0.0556	0.0400	1.56e-02
121	HNuolHkeglqj PjwPY	0.0556	0.0364	1.92e-02
122	HNuplHkegcqj PjwPY	0.0556	0.0356	2.00e-02
123	HNuolHkegcqj PjwPY	0.0556	0.0394	1.61e-02
124	HNuplHkegcIb PjwPY	0.0556	0.0386	1.69e-02
125	HNuplHkegcqj PbwqZ	0.0556	0.0389	1.67e-02
126	HNuplHkegcIb Pjwqa	0.0556	0.0383	1.72e-02
127	HNuplHkeglqb PjwPY	0.0556	0.0336	2.19e-02
128	HNuolHkeglqb PbwPZ	0.0556	0.0292	2.64e-02
129	HNuplHkeglqb PbwPZ	0.0556	0.0297	2.58e-02
130	HNuplHkegcIj PbwqZ	0.0556	0.0292	2.64e-02
131	HNuplHkeglqb PbwqZ	0.0556	0.0278	2.78e-02
132	HNuplHRegcqb PbwPZ	0.0556	0.0300	2.56e-02
133	HNuplHReglFb PbwqZ	0.0556	0.0286	2.69e-02
134	HNuplHkegcqj PbwqZ	0.0556	0.0306	2.50e-02
135	HNuplHRegcqb PjwqB	0.0556	0.0294	2.61e-02
136	HNuolHkegcIb PbwPZ	0.0556	0.0278	2.78e-02
137	HNuolHRegcIj PjwqB	0.0556	0.0267	2.89e-02
138	HNuplHRegcIj PbwqZ	0.0556	0.0275	2.81e-02
139	HNuplHReglqb PjwPZ	0.0556	0.0286	2.69e-02
140	HNuplHkeglqj PbwqZ	0.0556	0.0294	2.61e-02
141	HNuplHRegcIb PbwqZ	0.0556	0.0239	3.17e-02
142	HNuplHReglqj PbwqZ	0.0556	0.0236	3.19e-02
143	HNuplHReglqj PjwqZ	0.0556	0.0239	3.17e-02
144	HNuolHRegcIb PbwPZ	0.0556	0.0253	3.03e-02
145	HNuplHReglqj PbwqZ	0.0556	0.0256	3.00e-02
146	HNuplHReglFb PjwPY	0.0556	0.0281	2.75e-02
147	HNuplHRegcIj PbwqZ	0.0556	0.0244	3.11e-02
