Gen	FittestString____	MaxFit	AvgFit	Diversity
087	ERHYVSjVynmtksMbNq	0.1111	0.0381	7.31e-02
088	ERHYifdCynYtOsPANq	0.1111	0.0378	7.33e-02
089	ERJYVSjbynmtGvcbNk	0.1111	0.0353	7.58e-02
090	EfHYVfjCynYtOscbNq	0.1111	0.0339	7.72e-02
091	ERHqifjCynmtOePbNq	0.1111	0.0353	7.58e-02
092	EfHqifjCynmtGecbNq	0.1111	0.0403	7.08e-02
093	EfHYVSjCynmtOsMbNq	0.1111	0.0408	7.03e-02
094	ERHqiSjCynYtGecANq	0.1111	0.0467	6.44e-02
095	ERHqifjCynmtOsMANq	0.1111	0.0481	6.31e-02
096	ERHYifjCynYtOscyNn	0.1111	0.0383	7.28e-02
097	OfHqiSjCynYtOsMANk	0.1111	0.0408	7.03e-02
098	ERHqifjVynmtOscyNn	0.1111	0.0403	7.08e-02
099	ERHqifjVynYtOsMANq	0.1111	0.0383	7.28e-02
100	EfHqifjVynYtOvMANn	0.1111	0.0372	7.39e-02
101	EfHqiSjCynmtOsMANq	0.1111	0.0367	7.44e-02
102	ERHYifjCynmtGJcbNq	0.1111	0.0328	7.83e-02
103	EfHqVfjCynYtOvcANk	0.1111	0.0361	7.50e-02
104	OfHqVfjCynYtOvcANq	0.1111	0.0342	7.69e-02
105	EfHqVSjCynmtGvMANq	0.1111	0.0342	7.69e-02
106	ORHYVSjCynmtOscANn	0.1111	0.0333	7.78e-02
107	EfHYifjCynmtOscANq	0.1111	0.0303	8.08e-02
108	ORHYifjCynYtOscbNq	0.1111	0.0333	7.78e-02
109	ERHYVfjVynYtOscANq	0.1111	0.0375	7.36e-02
110	ERHYifjCynYtGscANk	0.1111	0.0422	6.89e-02
111	ERHYVfjCynYtOscANq	0.1111	0.0422	6.89e-02
112	ERHYVfjCynmtOscANn	0.1111	0.0425	6.86e-02
113	OfHYifjCynYtOscANk	0.1111	0.0425	6.86e-02
114	OfHqVfjVynYtOsMANk	0.1111	0.0447	6.64e-02
115	ERHqVfjCynYtOscANq	0.1111	0.0422	6.89e-02
116	ERHqVfjCynYtOsMANn	0.1111	0.0375	7.36e-02
117	ORHYifjCynYtOscANk	0.1111	0.0378	7.33e-02
118	ERHYVSjCynmtOscbNn	0.1111	0.0406	7.06e-02
119	ERHqVSjVynmtGscANq	0.1111	0.0394	7.17e-02
120	EfHYifjCynYtOscANq	0.1111	0.0378	7.33e-02
121	ERHqifjCynYtOscANk	0.1111	0.0392	7.19e-02
122	EfHqifjCynYtGscbNk	0.1111	0.0311	8.00e-02
123	ERHqVfjCynYtGsMANk	0.1111	0.0311	8.00e-02
124	ERHqVfjCynYtOscANk	0.1111	0.0278	8.33e-02
125	EfHqifjCynYtOscANn	0.1111	0.0339	7.72e-02
126	ERHqVfjCynYtGszANk	0.1111	0.0333	7.78e-02
127	ERHqVfjCynYtGszbNk	0.1111	0.0292	8.19e-02
128	ERHYVfjCynYtOscANn	0.1111	0.0256	8.56e-02
129	ERHqVSjCynYtGscANk	0.1111	0.0286	8.25e-02
130	ERHYVSjCynYtGscANk	0.1111	0.0297	8.14e-02
131	ERHYVfjCynYtGscbNk	0.1111	0.0289	8.22e-02
132	ERHYVfjCynYtGscbNk	0.1111	0.0322	7.89e-02
133	EfHYVSjCynYtGsMANk	0.1111	0.0250	8.61e-02
134	EfHqVfjVynYtOscANk	0.1111	0.0253	8.58e-02
135	EfHqifjCynYtOszbNq	0.1111	0.0228	8.83e-02
136	EfHqiSjCynYtGscANn	0.1111	0.0211	9.00e-02
137	EfHqVfjCynYtGszANn	0.1111	0.0192	9.19e-02
138	EfHqifjCynYtOscANn	0.1111	0.0222	8.89e-02
139	EfHqiSjCynYtGscANk	0.1111	0.0189	9.22e-02
140	ERHqiSjCynYtGszANk	0.1111	0.0258	8.53e-02
141	ERHqVSjCynYtOszbNq	0.1111	0.0250	8.61e-02
142	EfHqVfjCynYtOscANn	0.1111	0.0247	8.64e-02
143	EfHqiSjCynYtOscANq	0.1111	0.0194	9.17e-02
144	EfHqifjCynYtGscbNn	0.1111	0.0261	8.50e-02
145	EfHqVfjCynYtGscANn	0.1111	0.0314	7.97e-02
146	EfHqVSjCynYtGscANq	0.1111	0.0256	8.56e-02
147	EfHqifjCynYtGscANk	0.1111	0.0236	8.75e-02
148	EfHqVSjCynYtGscbNk	0.1111	0.0244	8.67e-02
149	EfHYiSjVynYtGscANn	0.1111	0.0250	8.61e-02
150	EfHqiSjCynYtGscbNq	0.1111	0.0278	8.33e-02
